Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
VX-11e,OCC(c1cccc(c1)Cl)NC(=O)c1[nH]cc(c1)c1nc(ncc1C)Nc1ccc(cc1Cl)F,C24H20Cl2FN5O2,500.35,34,23,0.12,8,5,4,129.76,102.93,3.31,4.7,5.53,3.02,5.58,4.43,-5.88,0.000666,1.33E-06,Moderately soluble,-6.59,0.000129,2.57E-07,Poorly soluble,-10.06,4.32E-08,8.63E-11,Insoluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.02,1,1,0,0,0,0.55,0,0,3,3.86
LJI308,Oc1c(F)cc(cc1F)c1cnccc1c1ccc(cc1)N1CCOCC1,C21H18F2N2O2,368.38,27,18,0.19,3,5,1,102.78,45.59,2.89,3.7,4.7,3.02,4.75,3.81,-4.75,0.00655,1.78E-05,Moderately soluble,-4.35,0.0165,4.49E-05,Moderately soluble,-7.18,2.46E-05,6.67E-08,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.92,0,0,0,0,0,0.55,0,0,2,2.62
AZ6102,CC1NC(C)CN(C1)c1ncc(c(c1)C)c1ccc(cc1)c1[nH]c(=O)c2c(n1)n(C)cc2,C25H28N6O,428.53,32,21,0.32,3,4,2,136.22,78.84,3.55,3.01,2.72,2.62,3.79,3.14,-4.68,0.00894,2.09E-05,Moderately soluble,-4.33,0.02,4.67E-05,Moderately soluble,-7.76,7.40E-06,1.73E-08,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.78,0,1,0,0,0,0.55,0,0,1,4.25
GSK591,OC(CN1CCc2c(C1)cccc2)CNC(=O)c1ccnc(c1)NC1CCC1,C22H28N4O2,380.48,28,12,0.45,8,4,3,113.39,77.49,3.21,2.31,1.47,1.8,2.68,2.29,-3.44,0.137,0.00036,Soluble,-3.58,0.101,0.000266,Soluble,-5.86,0.000525,1.38E-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-6.98,0,0,0,0,0,0.55,0,0,2,3.48
VE821,O=C(c1nc(cnc1N)c1ccc(cc1)S(=O)(=O)C)Nc1ccccc1,C18H16N4O3S,368.41,26,18,0.06,5,5,2,99.18,123.42,1.69,2.05,3.28,1.08,1.68,1.96,-3.6,0.093,0.000252,Soluble,-4.27,0.0198,5.37E-05,Moderately soluble,-6.59,9.51E-05,2.58E-07,Poorly soluble,High,No,No,No,No,Yes,Yes,Yes,-7.09,0,0,0,0,0,0.55,0,0,1,2.89
POMHEX,ON1CCCC(C1=O)P(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C,C17H30NO9P,423.4,28,0,0.82,11,9,1,102.34,138.48,3.69,1.81,2.31,1.3,0.26,1.87,-2.88,0.559,0.00132,Soluble,-4.34,0.0195,4.60E-05,Moderately soluble,-1.7,8.51,0.0201,Soluble,High,No,Yes,No,Yes,No,Yes,No,-7.6,0,0,1,1,0,0.55,0,4,2,4.95
GSK-LSD1-2HCl,N1CCC(CC1)NC1CC1c1ccccc1.Cl.Cl,C14H22Cl2N2,289.24,18,6,0.57,3,2,2,84.28,24.06,0,3.47,3.11,2.79,2.48,2.37,-3.87,0.0392,0.000135,Soluble,-3.66,0.0637,0.00022,Soluble,-4.03,0.0267,9.25E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.6,0,0,0,0,0,0.55,0,0,0,2.49
5-azacytidine,OCC1OC(C(C1O)O)n1cnc(nc1=O)N,C8H12N4O5,244.2,17,6,0.62,2,7,4,53.64,143.72,0.62,-2.17,-3.48,-2.98,-2.72,-2.15,-0.12,187,0.765,Very soluble,-0.32,118,0.481,Very soluble,1.38,5900,24.2,Soluble,Low,No,No,No,No,No,No,No,-9.33,0,1,1,1,1,0.55,0,0,1,3.77
A-366,COc1cc2c(cc1OCCCN1CCCC1)N=C(C12CCC1)N,C19H27N3O2,329.44,24,6,0.63,6,4,1,103.25,60.08,3.32,2.16,2.22,2.46,3.76,2.78,-3.03,0.306,0.000928,Soluble,-3.05,0.291,0.000882,Soluble,-4.94,0.00376,1.14E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.78,0,0,0,0,0,0.55,0,0,0,4.04
CPI-637,CC1CC(=O)Nc2c(N1)c(ccc2)c1ccc2c(c1)c(nn2C)c1cnn(c1)C,C22H22N6O,386.45,29,20,0.23,2,3,2,121.1,76.77,2.54,2.47,2.64,2.15,2.38,2.44,-4.17,0.0261,6.75E-05,Moderately soluble,-3.73,0.0725,0.000188,Soluble,-6.82,5.86E-05,1.52E-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.9,0,0,0,0,0,0.55,0,0,1,3.67
